date,sentiment_mean,sentiment_std,post_count,sentiment_net,sentiment_diff,sentiment_activity
2021-03-07,0.11849664,0.00013569178,2,2,866.88934,2
2021-03-08,-0.06966883,0.6345097,12,-4,-0.109799296,12
2021-03-09,0.25070775,0.68101233,16,4,0.36813927,16
2021-03-10,0.34708384,0.5411296,21,11,0.6414049,21
2021-03-11,0.47843015,0.5214689,15,9,0.91746455,15
2021-03-12,-0.09922884,0.5629537,11,-1,-0.17626433,11
2021-03-13,0.75055915,0.26140714,10,10,2.8712156,10
2021-03-14,0.41898823,0.5978834,6,4,0.7007847,6
2021-03-15,0.1991762,0.6316033,15,5,0.31534967,15
2021-03-16,0.37472636,0.4532543,32,20,0.8267445,32
2021-03-17,0.1336547,0.5055113,27,11,0.26439455,27
2021-03-18,0.5652546,0.38484272,22,18,1.4687899,22
2021-03-19,0.39370012,0.5513452,26,16,0.71407056,26
2021-03-20,0.57126945,0.3068476,14,14,1.8617306,14
2021-03-21,0.5618508,0.36834678,8,8,1.5253268,8
2021-03-22,0.32825288,0.6080321,34,18,0.5398602,34
2021-03-23,0.26017717,0.7233634,18,6,0.35967648,18
2021-03-24,0.50506884,0.49517214,21,17,1.0199842,21
2021-03-25,0.5522884,0.47710082,19,15,1.1575903,19
2021-03-26,0.28396255,0.62165946,30,14,0.45678076,30
2021-03-27,0.46601644,0.6475732,10,6,0.71963406,10
2021-03-28,0.7248885,0.33723453,6,6,2.149502,6
2021-03-29,0.53272074,0.4103805,22,18,1.298111,22
2021-03-30,0.19213144,0.5225185,40,20,0.36770195,40
2021-03-31,0.23835973,0.6177461,50,14,0.38585323,50
2021-04-01,0.52224404,0.52983785,28,18,0.9856658,28
2021-04-02,0.52777284,0.5406887,14,10,0.9761104,14
2021-04-03,0.90386647,0.0,1,1,903866.5,1
2021-04-04,0.44553193,0.7076574,3,1,0.62958616,3
2021-04-05,0.3216471,0.57426083,27,11,0.5601053,27
2021-04-06,0.22711173,0.5804445,21,5,0.39127138,21
2021-04-07,0.32613665,0.55826265,24,16,0.58419824,24
2021-04-08,0.15404963,0.51392823,42,12,0.29974872,42
2021-04-09,0.47993746,0.5681688,29,21,0.8447077,29
2021-04-10,0.4749338,0.6018247,4,2,0.78915507,4
2021-04-11,0.22461994,0.49958882,6,2,0.4496087,6
2021-04-12,0.29337403,0.47051555,29,17,0.6235148,29
2021-04-13,0.6468816,0.48823476,25,19,1.3249369,25
2021-04-14,0.39925447,0.55858934,24,16,0.7147536,24
2021-04-15,0.07908469,0.65746343,20,2,0.120287396,20
2021-04-16,0.4025039,0.5562532,21,11,0.72359705,21
2021-04-17,0.5739164,0.37056816,7,7,1.5487429,7
2021-04-18,0.50301015,0.3694618,6,4,1.3614635,6
2021-04-19,0.4996321,0.48717028,27,23,1.0255779,27
2021-04-20,0.32951063,0.54208624,61,25,0.6078553,61
2021-04-21,0.39902356,0.5098281,56,40,0.7826614,56
2021-04-22,0.34823856,0.46912944,30,20,0.7423064,30
2021-04-23,0.30114785,0.55200434,44,24,0.54555243,44
2021-04-24,0.28006658,0.5793998,7,5,0.48337275,7
